label,cohort,feature,samples,non_null,non_null_pct
OIB,model_ready_broad,CE(PPM),1281,798,62.2951
OIB,model_ready_broad,ND(PPM),1281,792,61.8267
OIB,model_ready_broad,TH(PPM),1281,0,0.0
OIB,model_ready_broad,SM(PPM),1281,781,60.968
OIB,model_ready_broad,EU(PPM),1281,758,59.1725
OIB,model_ready_broad,YB(PPM),1281,762,59.4848
OIB,model_ready_broad,LU(PPM),1281,770,60.1093
OIB,model_ready_broad,HF(PPM),1281,719,56.128
OIB,model_ready_broad,TA(PPM),1281,677,52.8493
OIB,model_ready_broad,U(PPM),1281,700,54.6448
OIB,model_ready_immobile,SIO2(WT%),789,789,100.0
OIB,model_ready_immobile,TIO2(WT%),789,789,100.0
OIB,model_ready_immobile,AL2O3(WT%),789,789,100.0
OIB,model_ready_immobile,FEOT(WT%),789,789,100.0
OIB,model_ready_immobile,CAO(WT%),789,789,100.0
OIB,model_ready_immobile,MGO(WT%),789,789,100.0
OIB,model_ready_immobile,MNO(WT%),789,789,100.0
OIB,model_ready_immobile,K2O(WT%),789,789,100.0
OIB,model_ready_immobile,NA2O(WT%),789,789,100.0
OIB,model_ready_immobile,P2O5(WT%),789,789,100.0
OIB,model_ready_immobile,V(PPM),789,568,71.9899
OIB,model_ready_immobile,CR(PPM),789,573,72.6236
OIB,model_ready_immobile,NI(PPM),789,294,37.2624
OIB,model_ready_immobile,RB(PPM),789,779,98.7326
OIB,model_ready_immobile,SR(PPM),789,788,99.8733
OIB,model_ready_immobile,Y(PPM),789,765,96.9582
OIB,model_ready_immobile,ZR(PPM),789,776,98.3523
OIB,model_ready_immobile,NB(PPM),789,745,94.4233
OIB,model_ready_immobile,LA(PPM),789,789,100.0
OIB,model_ready_immobile,CE(PPM),789,784,99.3663
OIB,model_ready_immobile,ND(PPM),789,766,97.0849
OIB,model_ready_immobile,TH(PPM),789,0,0.0
OIB,model_ready_immobile,SM(PPM),789,761,96.4512
OIB,model_ready_immobile,EU(PPM),789,754,95.564
OIB,model_ready_immobile,YB(PPM),789,756,95.8175
OIB,model_ready_immobile,LU(PPM),789,753,95.4373
OIB,model_ready_immobile,HF(PPM),789,705,89.3536
OIB,model_ready_immobile,TA(PPM),789,676,85.6781
OIB,model_ready_immobile,U(PPM),789,686,86.9455
CIB,all,SIO2(WT%),1052,595,56.5589
CIB,all,TIO2(WT%),1052,591,56.1787
CIB,all,AL2O3(WT%),1052,596,56.654
CIB,all,FEOT(WT%),1052,595,56.5589
CIB,all,CAO(WT%),1052,597,56.749
