province,georoc_citation_id,mapped,doi,year,title,doi_overlap_petdb,title_overlap_petdb,publication_overlap_petdb
Southern Andean Volcanic Zone,18493,True,10.1007/s00445-014-0830-x,2014.0,"MAJOR CHANGES IN THE POST-GLACIAL EVOLUTION OF MAGMATIC COMPOSITIONS AND PRE-ERUPTIVE CONDITIONS OF LLAIMA VOLCANO, ANDEAN SOUTHERN VOLCANIC ZONE, CHILE",False,False,False
Southern Andean Volcanic Zone,18519,True,10.1007/s00410-014-1004-8,2014.0,ENRICHMENTS OF THE MANTLE SOURCES BENEATH THE SOUTHERN VOLCANIC ZONE (ANDES) BY FLUIDS AND MELTS DERIVED FROM ABRADED UPPER CONTINENTAL CRUST,False,False,False
Southern Andean Volcanic Zone,18602,True,10.1016/j.chemgeo.2013.04.007,2013.0,"PAYENIA VOLCANIC PROVINCE, SOUTHERN MENDOZA, ARGENTINA: OIB MANTLE UPWELLING IN A BACKARC ENVIRONMENT",False,False,False
Southern Andean Volcanic Zone,18961,True,10.1016/j.lithos.2014.09.010,2014.0,"GEOCHEMICAL VARIATIONS IN THE QUATERNARY ANDEAN BACK-ARC VOLCANISM, SOUTHERN MENDOZA, ARGENTINA",False,False,False
Southern Andean Volcanic Zone,19131,True,10.1016/J.LITHOS.2014.11.026,2015.0,"SR, ND, PB AND HF ISOTOPIC CONSTRAINTS ON MANTLE SOURCES AND CRUSTAL CONTAMINANTS IN THE PAYENIA VOLCANIC PROVINCE, ARGENTINA",False,False,False
Southern Andean Volcanic Zone,19667,True,10.1016/j.gca.2015.05.007,2015.0,GEODYNAMIC CONTROLS ON THE CONTAMINATION OF CENOZOIC ARC MAGMAS IN THE SOUTHERN CENTRAL ANDES: INSIGHTS FROM THE O AND HF ISOTOPIC COMPOSITION OF ZIRCON,False,False,False
Southern Andean Volcanic Zone,19886,True,10.1016/j.jsames.2015.09.010,2015.0,"LATE CENOZOIC CALC-ALKALINE VOLCANISM OVER THE PAYENIA SHALLOW SUBDUCTION ZONE, SOUTH-CENTRAL ANDEAN BACK-ARC (34°30^-37°S), ARGENTINA",False,False,False
Southern Andean Volcanic Zone,19904,True,10.1007/s00445-015-0976-1,2015.0,"EXPLOSIVE STYLE, MAGMA DEGASSING AND EVOLUTION IN THE CHAIMILLA ERUPTION, VILLARRICA VOLCANO, SOUTHERN ANDES",False,True,True
Southern Andean Volcanic Zone,19914,True,10.1016/j.jvolgeores.2015.09.023,2015.0,"CONTRASTING RECORDS FROM MANTLE TO SURFACE OF HOLOCENE LAVAS OF TWO NEARBY ARC VOLCANIC COMPLEXES: CABURGUA-HUELEMOLLE SMALL ERUPTIVE CENTERS AND VILLARRICA VOLCANO, SOUTHERN CHILE",False,False,False
Southern Andean Volcanic Zone,19945,True,10.1016/j.jvolgeores.2015.10.013,2015.0,THE CARRAN-LOS VENADOS VOLCANIC FIELD AND ITS RELATIONSHIP WITH COEVAL AND NEARBY POLYGENETIC VOLCANISM IN AN INTRA-ARC SETTING,False,False,False
Southern Andean Volcanic Zone,20337,True,10.1016/j.lithos.2016.04.014,2016.0,BASALTIC ROCKS FROM THE ANDEAN SOUTHERN VOLCANIC ZONE: INSIGHTS FROM THE COMPARISON OF ALONG-STRIKE AND SMALL-SCALE GEOCHEMICAL VARIATIONS AND THEIR SOURCES,False,False,False
Southern Andean Volcanic Zone,20346,True,10.1016/j.gca.2016.03.033,2016.0,"GEOCHEMISTRY OF BASALTS FROM SMALL ERUPTIVE CENTERS NEAR VILLARRICA STRATOVOLCANO, CHILE: EVIDENCE FOR LITHOSPHERIC MANTLE COMPONENTS IN CONTINENTAL ARC MAGMAS",False,True,True
Southern Andean Volcanic Zone,20547,True,10.1016/j.lithos.2016.07.002,2016.0,THE ROLE OF CHANGING GEODYNAMICS IN THE PROGRESSIVE CONTAMINATION OF LATE CRETACEOUS TO LATE MIOCENE ARC MAGMAS IN THE SOUTHERN CENTRAL ANDES,False,False,False
Southern Andean Volcanic Zone,20576,True,10.1038/ngeo2788,2016.0,PARENTAL ARC MAGMA COMPOSITIONS DOMINANTLY CONTROLLED BY MANTLE-WEDGE THERMAL STRUCTURE,False,False,False
Southern Andean Volcanic Zone,20645,True,10.1007/s00445-016-1078-4,2016.0,"LOCALISED MAGMATIC CONSTRAINTS ON CONTINENTAL BACK-ARC VOLCANISM IN SOUTHERN MENDOZA, ARGENTINA: THE SANTA MARIA VOLCANO",False,False,False
Southern Andean Volcanic Zone,20676,True,10.1016/j.epsl.2016.09.056,2016.0,COMPOSITIONAL VARIABILITY IN MAFIC ARC MAGMAS OVER SHORT SPATIAL AND TEMPORAL SCALES: EVIDENCE FOR THE SIGNATURE OF MANTLE REACTIVE MELT CHANNELS,False,False,False
Southern Andean Volcanic Zone,20802,True,10.1007/s00410-016-1318-9,2017.0,SOUTH-TO-NORTH PYROXENITE-PERIDOTITE SOURCE VARIATION CORRELATED WITH AN OIB-TYPE TO ARC-TYPE ENRICHMENT OF MAGMAS FROM THE PAYENIA BACKARC OF THE ANDEAN SOUTHERN VOLCANIC ZONE (SVZ),False,False,False
Southern Andean Volcanic Zone,20828,True,10.1016/j.jvolgeores.2016.11.017,2017.0,"HOLOCENE TEPHRA SUCCESSION OF PUYEHUE-CORDON CAULLE AND ANTILLANCA/CASABLANCA VOLCANIC COMPLEXES, SOUTHERN ANDES (40-41°S)",False,False,False
Southern Andean Volcanic Zone,20954,True,10.1093/petrology/egx006,2017.0,"PLEISTOCENE TO HOLOCENE GROWTH OF A LARGE UPPER CRUSTAL RHYOLITIC MAGMA RESERVOIR BENEATH THE ACTIVE LAGUNA DEL MAULE VOLCANIC FIELD, CENTRAL CHILE",False,False,False
Southern Andean Volcanic Zone,21020,True,10.1144/jgs2016-087,2017.0,EARLY ANDEAN TECTONOMAGMATIC STAGES IN NORTH PATAGONIA: INSIGHTS FROM FIELD AND GEOCHEMICAL DATA,False,False,False
Southern Andean Volcanic Zone,21041,True,10.1007/s00410-017-1360-2,2017.0,A GEOCHEMICAL APPROACH TO DISTINGUISHING COMPETING TECTONO-MAGMATIC PROCESSES PRESERVED IN SMALL ERUPTIVE CENTRES,False,False,False
Southern Andean Volcanic Zone,21497,True,10.1016/j.lithos.2017.09.008,2017.0,SLAB-DERIVED COMPONENTS IN THE SUBCONTINENTAL LITHOSPHERIC MANTLE BENEATH CHILEAN PATAGONIA: GEOCHEMISTRY AND SR-ND-PB ISOTOPES OF MANTLE XENOLITHS AND HOST BASALT,False,False,False
Southern Andean Volcanic Zone,21598,True,10.1016/j.chemgeo.2017.11.035,2018.0,MULTI-ELEMENT ISOTOPIC EVOLUTION OF MAGMATIC ROCKS FROM CAVIAHUE-COPAHUE VOLCANIC COMPLEX (CHILE-ARGENTINA): INVOLVEMENT OF MATURE SLAB RECYCLED MATERIALS,False,False,False
Southern Andean Volcanic Zone,21645,True,10.1016/j.jvolgeores.2017.11.026,2018.0,"VOLCANOLOGIC AND PETROLOGIC EVOLUTION OF ANTUCO-SIERRA VELLUDA, SOUTHERN ANDES, CHILE",False,False,False
Southern Andean Volcanic Zone,21748,True,10.1016/j.jog.2017.11.005,2018.0,LATE EOCENE VOLCANISM IN NORTH PATAGONIA (42°30´-43°S): ARC RESUMPTION AFTER A STAGE OF WITHIN-PLATE MAGMATISM,False,False,False
Southern Andean Volcanic Zone,22571,True,10.1016/j.jvolgeores.2018.10.020,2018.0,"THE INTERPLAY OF MAGMATISM AND TECTONICS: AN EXAMPLE BASED ON THE SATELLITE SCORIA CONES AT LLAIMA VOLCANO, CHILE",False,False,False
Southern Andean Volcanic Zone,22753,True,10.1016/j.jsames.2018.12.022,2019.0,"QUATERNARY EVOLUTION OF THE EL TROMEN VOLCANIC SYSTEM, ARGENTINA, BASED ON NEW K-AR AND GEOCHEMICAL DATA: INSIGHTS FOR TEMPORAL EVOLUTION OF MAGMATIC PROCESSES BETWEEN ARC AND BACK-ARC SETTINGS",False,False,False
Southern Andean Volcanic Zone,23172,True,10.1016/j.epsl.2019.06.017,2019.0,CHALCOPHILE ELEMENT PROCESSING BENEATH A CONTINENTAL ARC STRATOVOLCANO,False,False,False
Southern Andean Volcanic Zone,23382,True,10.1016/j.gca.2019.09.008,2019.0,NEW CONSTRAINTS FROM CENTRAL CHILE ON THE ORIGINS OF ENRICHED CONTINENTAL COMPOSITIONS IN THICK-CRUSTED ARC MAGMAS,False,False,False
Southern Andean Volcanic Zone,23433,True,10.1007/s00410-019-1643-x,2019.0,"STRATIGRAPHICALLY CONTROLLED SAMPLING CAPTURES THE ONSET OF HIGHLY FLUID-FLUXED MELTING AT SAN JORGE VOLCANO, SOUTHERN VOLCANIC ZONE, CHILE",False,False,False
Southern Andean Volcanic Zone,23546,True,10.1029/2019TC005580,2019.0,CONSTRAINTS ON TRENCHWARD ARC MIGRATION AND BACKARC MAGMATISM IN THE NORTH PATAGONIAN ANDES IN THE CONTEXT OF NAZCA PLATE ROLLBACK,False,False,False
Southern Andean Volcanic Zone,23838,True,10.1016/j.jsames.2020.102508,2020.0,"EARLY STAGES OF THE MIOCENE MAGMATIC ARC AND RELATED HYDROTHERMAL ALTERATION AT VALLE HERMOSO, SOUTH CENTRAL ANDES (35°07^S, 70°17^W)",False,False,False
