province,georoc_citation_id,mapped,doi,year,title,doi_overlap_petdb,title_overlap_petdb,publication_overlap_petdb
Southern Andean Volcanic Zone,6223,True,10.4067/S0716-02082001000200006,2001.0,"LAVAS LAS PATAGUAS: ALKALINE VOLCANISM IN THE EARLY MIOCENE ANDEAN FOREARC, CENTRAL CHILE",False,False,False
Southern Andean Volcanic Zone,6652,True,10.1016/0895-9811(88)90032-6,1988.0,THE QUATERNARY VOLCANIC BELT OF THE SOUTHERN CONTINENTAL MARGIN OF SOUTH AMERICA: TRAVERSE STRUCTURAL AND PETROCHEMICAL VARIATIONS ACROSS THE SEGMENT BETWEEN 38°S AND 39°S,False,False,False
Southern Andean Volcanic Zone,7318,True,10.5027/andgeoV22n2-a06,1995.0,GEOCHEMISTRY AND TECTONICS OF THE CHILEAN SOUTHERN ANDES BASALTIC QUATERNARY VOLCANISM (37-46°S),False,False,False
Southern Andean Volcanic Zone,7427,True,,1997.0,"EOCENE-MIOCENE LONGITUDINAL DEPRESSION AND QUATERNARY VOLCANISM IN THE SOUTHERN ANDES, CHILE (33-42.5° S): A GEOCHEMICAL COMPARISON",False,False,False
Southern Andean Volcanic Zone,7944,True,10.1130/B25099.1,2003.0,TERTIARY VOLCANISM DURING EXTENSION IN THE ANDEAN FOOTHILLS OF CENTRAL CHILE (33°15^33°45^S),False,False,False
Southern Andean Volcanic Zone,8751,True,10.1016/0895-9811(96)00026-0,1996.0,PETROLOGY AND GEOCHEMISTRY OF THE OPHIOLITIC AND VOLCANIC SUITES OF THE TAITAO PENINSULA - CHILE TRIPLE JUNCTION AREA,False,False,False
Southern Andean Volcanic Zone,8755,True,10.1016/S0895-9811(97)00012-6,1997.0,NEW EVIDENCE ON THE NATURE OF THE FRONTAL CORDILLERA OPHIOLITIC BELT - ARGENTINA,False,False,False
Southern Andean Volcanic Zone,8756,True,10.1016/S0895-9811(97)00024-2,1997.0,"PETROGENESIS OF MIOCENE BASIC SHOSHONITIC LAVAS IN THE BOLIVIAN ANDES AND IMPLICATIONS FOR HYDROTHERMAL GOLD, SILVER AND TIN DEPOSITS",False,False,False
Southern Andean Volcanic Zone,8773,True,10.1016/S0895-9811(03)00063-4,2003.0,"THE QUATERNARY CALC-ALKALINE VOLCANISM OF THE PATAGONIAN ANDES CLOSE TO THE CHILE TRIPLE JUNCTION: GEOCHEMISTRY AND PETROGENESIS OF VOLCANIC ROCKS FROM THE CAY AND MACA VOLCANOES (45°S, CHILE)",False,False,False
Southern Andean Volcanic Zone,8776,True,10.1016/j.jsames.2003.06.001,2003.0,"EXTENSIONAL LOWER CRETACEOUS VOLCANISM IN THE COASTAL RANGE (29°20-30°S), CHILE: GEOCHEMISTRY AND PETROGENESIS",False,False,False
Southern Andean Volcanic Zone,8788,True,10.1016/j.jsames.2005.06.003,2005.0,VOLCANOLOGICAL AND GEOCHEMICAL EVOLUTION OF THE DIAMANTE CALDERA-MAIPO VOLCANO COMPLEX IN THE SOUTHERN ANDES OF ARGENTINA (34°10S),False,False,False
Southern Andean Volcanic Zone,8969,True,,2000.0,"CERRO AGUA POCA, A BASALTIC QUATERNARY CONE BEARING ULTRAMAFIC XENOLITHS, WESTERN PROVINCE OF LA PAMPA, ARGENTINA",False,False,False
Southern Andean Volcanic Zone,9666,True,10.5027/andgeoV33n1-a05,2006.0,"ABANICO EAST FORMATION: PETROLOGY AND GEOCHEMISTRY OF VOLCANIC ROCKS BEHIND THE CENOZOIC ARC FRONT IN THE ANDEAN CORDILLERA, CENTRAL CHILE (33°50´S)",False,False,False
Southern Andean Volcanic Zone,10020,True,10.1016/j.epsl.2006.12.017,2007.0,"RAPID MAGMA ASCENT AND GENERATION OF 230TH EXCESSES IN THE LOWER CRUST AT PUYEHUE-CORDON CAULLE, SOUTHERN VOLCANIC ZONE, CHILE",False,False,False
Southern Andean Volcanic Zone,11773,True,10.5027/andgeoV32n1-a09,2005.0,"PETROGENESIS OF THE PLEISTOCENE TRONADOR VOLCANIC GROUP, ANDEAN SOUTHERN VOLCANIC ZONE",False,False,False
Southern Andean Volcanic Zone,11951,True,10.1130/B26276.1,2008.0,"ERUPTIVE HISTORY, GEOCHRONOLOGY, AND MAGMATIC EVOLUTION OF THE PUYEHUE-CORDÓN CAULLE VOLCANIC COMPLEX, CHILE",False,False,False
Southern Andean Volcanic Zone,12800,True,10.1016/S1251-8050(00)88584-5,1999.0,"BASALTS, ANDESITES, DACITES AND RHYOLITES FROM NEVADOS DE CHILAN AND ANTUCO STRATOVOLCANOES (SOUTHERN ANDES): A REMARKABLE EXAMPLE OF MAGMATIC DIFFERENTIATION THROUGH CRYSTAL FRACTIONATION",False,False,False
Southern Andean Volcanic Zone,12925,True,10.1007/s004450050193,1998.0,"HOLOCENE EXPLOSIVE ACTIVITY OF HUDSON VOLCANO, SOUTHERN ANDES",False,False,False
Southern Andean Volcanic Zone,12982,True,10.1016/j.jvolgeores.2005.01.014,2005.0,THE HUDSON VOLCANO AND SURROUNDING MONOGENETIC CENTRES (CHILEAN PATAGONIA): AN EXAMPLE OF VOLCANISM ASSOCIATED WITH RIDGE-TRENCH COLLISION ENVIRONMENT,False,False,False
Southern Andean Volcanic Zone,12983,True,10.1016/S0040-1951(99)00160-2,1999.0,"NEW GEOCHEMICAL CONSTRAINTS FOR THE ORIGIN OF RIDGE-SUBDUCTION-RELATED PLUTONIC AND VOLCANIC SUITES FROM THE CHILE TRIPLE JUNCTION (TAITAO PENINSULA AND SITE 862, LEG ODP141 ON THE TAITAO RIDGE)",False,False,False
Southern Andean Volcanic Zone,13861,True,10.1016/j.jsames.2009.04.008,2009.0,"GEOCHEMICAL VARIATIONS IN CENOZOIC BACK-ARC BASALTS AT THE BORDER OF LA PAMPA AND MENDOZA PROVINCES, ARGENTINA",False,False,False
Southern Andean Volcanic Zone,13901,True,,2008.0,"VERY LONG PAHOEHOE INFLATED BASALTIC LAVA FLOWS IN THE PAYENIA VOLCANIC PROVINCE (MENDOZA AND LA PAMPA, ARGENTINA)",False,False,False
Southern Andean Volcanic Zone,13990,True,10.1007/s00410-009-0426-1,2010.0,"ROLE OF CRYPTIC AMPHIBOLE CRYSTALLIZATION IN MAGMA DIFFERENTIATION AT HUDSON VOLCANO, SOUTHERN VOLCANIC ZONE, CHILE",False,False,False
Southern Andean Volcanic Zone,14391,True,10.1016/j.jsames.2010.01.002,2010.0,VOLCANIC EVOLUTION OF THE BACK-ARC PLEISTOCENE PAYUN MATRU VOLCANIC FIELD (ARGENTINA),False,False,False
Southern Andean Volcanic Zone,14418,True,10.2113/gsecongeo.100.5.887,2005.0,REGIONAL GEOCHEMISTRY OF TERTIARY IGNEOUS ROCKS IN CENTRAL CHILE: IMPLICATIONS FOR THE GEODYNAMIC ENVIRONMENT OF GIANT PORPHYRY COPPER AND EPITHERMAL GOLD MINERALIZATION,False,False,False
Southern Andean Volcanic Zone,14959,True,10.1016/j.jvolgeores.2010.04.003,2010.0,"BACK-ARC BASALTS FROM THE LONCOPUE GRABEN (PROVINCE OF NEUQUEN, ARGENTINA)",False,False,False
Southern Andean Volcanic Zone,15544,True,10.1016/j.jsames.2011.04.007,2011.0,"PETROLOGY OF THE MIOCENE IGNEOUS ROCKS IN THE ALTAR REGION, MAIN CORDILLERA OF SAN JUAN, ARGENTINA. A GEODYNAMIC MODEL WITHIN THE CONTEXT OF THE ANDEAN FLAT-SLAB SEGMENT AND METALLOGENESIS",False,False,False
Southern Andean Volcanic Zone,15715,True,10.1016/j.jog.2011.07.004,2011.0,"NEOGENE MAGMATIC EXPANSION AND MOUNTAIN BUILDING PROCESSES IN THE SOUTHERN CENTRAL ANDES, 36-37°S, ARGENTINA",False,False,False
Southern Andean Volcanic Zone,16232,True,10.5027/andgeo2010-678,2010.0,MIDDLE MIOCENE CALC-ALKALINE VOLCANISM IN CENTRAL PATAGONIA (47°S): PETROGENESIS AND IMPLICATIONS FOR SLAB DYNAMICS,False,False,False
Southern Andean Volcanic Zone,16233,True,10.5027/andgeoV38n2-a05,2011.0,"GEOLOGY, PETROLOGY AND GEOCHEMISTRY OF THE DOME COMPLEX OF HUEQUI VOLCANO, SOUTHERN CHILE",False,False,False
Southern Andean Volcanic Zone,16234,True,10.5027/andgeoV38n1-a02,2011.0,"OLIVINE-HORNBLENDE-LAMPROPHYRE DIKES FROM QUEBRADA LOS SAPOS, EL TENIENTE, CENTRAL CHILE (34°S): IMPLICATIONS FOR THE TEMPORAL GEOCHEMICAL EVOLUTION OF THE ANDEAN SUBARC MANTLE",False,False,False
Southern Andean Volcanic Zone,17460,True,10.1002/grl.50513,2013.0,ARC MAGMA COMPOSITIONS CONTROLLED BY LINKED THERMAL AND CHEMICAL GRADIENTS ABOVE THE SUBDUCTING SLAB,False,False,False
Southern Andean Volcanic Zone,18019,True,10.1016/j.chemgeo.2013.10.024,2013.0,"MELT-PERIDOTITE REACTIONS IN UPWELLING ECLOGITE BODIES: CONSTRAINTS FROM EM1-TYPE ALKALINE BASALTS IN PAYENIA, ARGENTINA",False,False,False
Southern Andean Volcanic Zone,18070,True,10.1093/petrology/egt066,2014.0,"CONSTRAINTS ON THE ORIGIN AND EVOLUTION OF MAGMAS IN THE PAYUN MATRU VOLCANIC FIELD, QUATERNARY ANDEAN BACK-ARC OF WESTERN ARGENTINA",False,False,False
Southern Andean Volcanic Zone,18365,True,10.1016/J.CHEMGEO.2014.01.015,2014.0,"GEOCHEMICAL VARIATIONS IN THE CENTRAL SOUTHERN VOLCANIC ZONE, CHILE (38-43°S): THE ROLE OF FLUIDS IN GENERATING ARC MAGMAS",False,False,False
