source_region,source_excel_row,Sample,SiO2,TiO2,Al2O3,Fe2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,Total,Mg#,Rb,Sr,Y,Zr,Nb,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U
Southwest Indian Ridge,15,40III-TVG10,49.87,1.049,15.27,10.22,9.198,0.175,8.89,11.74,2.47,0.24,0.103,-0.58,99.45,0.6327385492739026,4.379490314881592,100.68778247312235,27.345952986414723,58.27879215332017,4.753436016213793,50.41581819548632,4.065068158695198,9.717710341907491,1.4209224647368084,7.298239831855228,2.5125134738239074,1.0201779462197782,3.6928695171808563,0.6853660906011342,4.69947519591138,1.0311738812310147,2.9082662834611734,0.46910149696531955,2.894457305821044,0.41058937854501587,1.708481349362858,0.29904504116886027,0.5490980538339901,0.47468674004658207,0.14357809152677573
Southwest Indian Ridge,16,40IV-TVG18,50.38,1.14,15.29,10.54,9.485999999999999,0.181,7.5,11.99,2.75,0.36,0.13,-0.6,99.66,0.5849502287915961,6.258291500336312,126.92638568496265,27.527512098214597,59.41094203654283,7.236142356971765,70.45340735150515,5.7263414448555405,12.835412245390067,1.810049607699846,8.564946807330257,2.6705419865086206,1.0122406110470825,3.4577579899223294,0.688072540126428,4.568185269554796,1.0073269465605852,2.7931007387493234,0.41661275740535175,2.662694787433959,0.3979778876834871,1.7909346635270469,0.4236729498665562,1.0471617870430836,0.7141971287540447,0.23913641757581866
Southwest Indian Ridge,17,21VII-D4,49.65,0.88,16.42,9.8,8.82,0.161,8.76,12,2.19,0.13,0.079,-0.79,99.27,0.639043797118218,2.366671674390282,88.65121605995091,23.156014554158915,45.030584434293395,2.7512290601049347,28.249817292110198,2.601745626549982,6.636810947325996,1.0017459886620836,5.289969987694757,1.888150020199627,0.7787227733525564,3.0112318059179164,0.5497120510005229,3.7021356053029355,0.7920887111233018,2.3957281727247195,0.3614531786339545,2.3634448328147246,0.3598980033744327,1.336530794835615,0.18821072015902754,0.4646454208037369,0.25985026643639075,0.10199037800030752
Southwest Indian Ridge,18,21VII-S2D1,49.59,1.378,14.9,10.27,9.243,0.154,6.19,12.01,2.79,0.55,0.13,1.57,99.53,0.5441623455040416,10.41914196744638,127.05771682140698,30.967562712180833,78.8453920534076,6.268448868496765,72.07397207321424,5.321235256373822,12.743708643523586,1.8349254489986944,9.386713562713808,3.1423731714973457,1.1676625485108716,4.667389500685265,0.797440913939057,5.216883084550998,1.0635497223693378,3.2218968459086654,0.4894352305807494,3.088830875695196,0.4597203415776172,2.2257196701833335,0.38336896312557345,0.8242749986495992,0.5640925878069996,0.17670874978494888
Southwest Indian Ridge,19,40IV-TVG16,49.42,1.407,14.56,11.3,10.170000000000002,0.173,8.13,11,2.64,0.16,0.125,1.4,100.31,0.5876262556091132,2.2493076382407815,120.75916592243416,34.724424761693086,80.35781255281297,2.2526378343894526,17.455962266656492,2.932186647430379,9.152817875986795,1.5215743777153756,8.724061152433377,3.209420515581922,1.2429646422208314,4.763318092203889,0.9532685047982781,6.170046079903383,1.3022014120749383,3.8092569035658745,0.5666024525546547,3.6159890394857492,0.5420802867807224,2.193089209119205,0.16262772288752902,0.538086158757635,0.22100652136188306,0.09520465880275217
Southwest Indian Ridge,20,39III-S018TVG18,48.98,1.131,15.18,10.1,9.09,0.157,8.95,11.75,2.43,0.21,0.101,0.6,99.6,0.637035639035095,4.1326767277624645,123.70961342406726,29.79324254919021,67.02637853903967,1.8023299501432861,11.823505840288679,2.3043544317648403,7.39945552603305,1.2023776327779012,,2.727655206692907,1.0720885844376462,4.036490221453958,0.79119273498522,5.348234498952068,1.0765985886903837,3.276996672093935,0.520839492377637,3.157816281974172,0.4798545047872462,1.807840887909721,0.12819248799908195,0.41279909712220486,0.1573644246734993,0.10290456065024013
Southwest Indian Ridge,21,39III-TVG15,49.52,1.308,16.04,11,9.9,0.176,7.16,12.06,2.61,0.13,0.124,0,100.13,0.5631651090085661,1.9198204346191676,94.22216164026301,34.17765846812423,74.19626351496315,1.2957034753401337,8.958730984469677,2.0814968760901635,7.281953854488717,1.2832892397835731,7.405161665591662,2.941240212879515,1.160888414684017,4.282593245354418,0.8442695088515033,5.929160084465436,1.1832101228030412,3.6324203484330693,0.5723189910945877,3.49523965064246,0.540046428763785,2.20681634097825,0.08670335265789117,0.406249274129742,0.10698804880856519,0.07651988000525003
Southwest Indian Ridge,22,30III-TVG18,48.3,0.789,21.64,7.03,6.327,0.115,5.29,13.89,2.24,0.21,0.068,0,100.32,0.598455638298935,4.236287700567443,109.6628468625064,20.631454048314996,43.7427651091128,0.8461660757563768,8.154221457822704,1.3869671878798775,4.461445856734943,0.8028031336903025,4.68270001275608,1.918650690449469,0.7274525511482189,2.813346605407823,0.49782358560515916,3.245132290949469,0.7558629602677006,2.160027034887327,0.35164286847407034,1.9473617266217624,0.31080453540357744,1.3450998503311944,0.05686143574385408,0.38168918550570086,0.08219854390495014,0.039631106379047945
Southwest Indian Ridge,23,39III-TVG05,48.97,1.316,15.78,11.48,10.332,0.184,7.47,11.72,2.53,0.13,0.116,0,99.69,0.5630848834601327,1.208200768797238,82.84132140745572,32.37179996499353,66.71452209772099,1.2697961495343622,11.762445327300982,2.091387953847818,6.875083903486492,1.218068759192847,7.605051170975628,3.0349494368702836,1.1750267407680743,4.657439822401258,0.90333358380727,5.745081055952066,1.1799138812625043,3.659343700657464,0.5285308144145127,3.6487818284574365,0.5615051321867743,2.145924694256254,0.09748576222266024,0.4067750748695619,0.12578826221124642,0.07044244676601323
Southwest Indian Ridge,24,43II-S03TVG01,49.67,1.774,13.96,12.87,11.583,0.206,8.28,10.41,2.97,0.16,0.163,-0.6,99.84,0.5602918975521549,2.044123372430604,101.47410090404891,43.90769948150738,104.23329722510161,2.6757787413416194,23.54239640560985,3.3102014837379703,11.088092151147784,1.9011194630810353,11.133206437188612,4.228575841028038,1.5431837473252812,6.048679675559023,1.1925398867767913,7.873245873787383,1.696534574226537,4.8868817416059365,0.6912423697563033,4.775592997167247,0.6733830631056578,3.098298032076059,0.18479609286411441,0.5748887172412329,0.2210506541952158,0.1226005453768147
