cv_strategy,fold,model,train_n,test_n,fit_seconds,accuracy,balanced_accuracy,macro_f1,weighted_f1,log_loss
location_root_grouped,1,random_forest_balanced,4949,1199,0.5593,0.8532110091743119,0.8329834886654931,0.7742434038055305,0.8420774677098283,0.4291435632242599
location_root_grouped,2,dummy_prior,4758,1390,0.0271,0.47050359712230216,0.25,0.15998043052837574,0.3010854721311014,1.628654511345146
location_root_grouped,2,logistic_balanced,4758,1390,0.0904,0.7467625899280576,0.7419833940968007,0.7023373156594361,0.7384971485370236,1.4357699275511684
location_root_grouped,2,random_forest_balanced,4758,1390,0.5807,0.7165467625899281,0.7122086402158538,0.6449981377686242,0.6501382690845727,0.6958827327256867
location_root_grouped,3,dummy_prior,4991,1157,0.0289,0.5661192739844425,0.25,0.18073951434878588,0.40928049057374155,1.0838943690115703
location_root_grouped,3,logistic_balanced,4991,1157,0.0916,0.8072601555747623,0.7405822020353642,0.6733272833243291,0.8384255798656013,0.5005188609422738
location_root_grouped,3,random_forest_balanced,4991,1157,0.5876,0.8513396715643907,0.8474817909960218,0.7436477636904071,0.8695145428032773,0.5029364307729121
location_root_grouped,4,dummy_prior,4834,1314,0.0418,0.6841704718417048,0.25,0.20311793944871215,0.5558691858885608,0.9496704511650339
location_root_grouped,4,logistic_balanced,4834,1314,0.1064,0.939117199391172,0.7074788650515499,0.7241288143358894,0.9403727214873653,0.3697409872938525
location_root_grouped,4,random_forest_balanced,4834,1314,0.6247,0.958904109589041,0.7779095155651379,0.7831541965863246,0.9607772986881611,0.17903886284412016
location_root_grouped,5,dummy_prior,5060,1088,0.0275,0.6047794117647058,0.25,0.1884306987399771,0.4558360285695034,1.0513610369831365
location_root_grouped,5,logistic_balanced,5060,1088,0.1074,0.875,0.8179279546866616,0.8094739271011224,0.8759419273666238,0.5820700363411109
location_root_grouped,5,random_forest_balanced,5060,1088,0.625,0.8759191176470589,0.7887081133049912,0.8026025111278795,0.8744976554624564,0.3910296373364362
