cv_strategy,fold,model,train_n,test_n,fit_seconds,accuracy,balanced_accuracy,macro_f1,weighted_f1,log_loss
citation_overlap_conservative,2,random_forest_balanced,43720,10292,2.6252,0.8027594247959581,0.7215202334283543,0.7360263579609346,0.800595788805993,0.5036974951979453
citation_overlap_conservative,3,dummy_prior,43721,10291,0.1857,0.5846856476532892,0.3333333333333333,0.2459733464148475,0.43145125606203605,0.8673884245506712
citation_overlap_conservative,3,logistic_balanced,43721,10291,0.7162,0.6444466038285881,0.7296113997557544,0.5859087489170106,0.6674557111668448,0.750293766879074
citation_overlap_conservative,3,random_forest_balanced,43721,10291,2.3894,0.7956466815664173,0.7287490898266066,0.7168166710048318,0.7971749957803957,0.5040223152086919
citation_overlap_conservative,4,dummy_prior,43721,10291,0.1354,0.5846856476532892,0.3333333333333333,0.2459733464148475,0.43145125606203605,0.8672869249521423
citation_overlap_conservative,4,logistic_balanced,43721,10291,0.7305,0.6332717908852395,0.6737507797172082,0.5676409389919508,0.653712491585217,0.791593460019876
citation_overlap_conservative,4,random_forest_balanced,43721,10291,2.0908,0.7907880672432223,0.7261410793725034,0.7300655229870946,0.7900685157990381,0.5207125269628586
citation_overlap_conservative,5,dummy_prior,43721,10291,0.1384,0.5846856476532892,0.3333333333333333,0.2459733464148475,0.43145125606203605,0.8673884245506712
citation_overlap_conservative,5,logistic_balanced,43721,10291,0.8042,0.6643669225536877,0.7131821031684745,0.59748877692337,0.6888058557535828,0.7094632615341351
citation_overlap_conservative,5,random_forest_balanced,43721,10291,2.3548,0.8243125060732679,0.7703799217218655,0.770462220138699,0.823466376964237,0.47550337468559467
